IDEN; TOTBILL;  TIP;SEX; SMOKER; DAY;TIME;SIZE
R047;  22.23;  5.00;0;0;6;1;2
R048;  32.40;  6.00;0;0;6;1;4
R049;  28.55;  2.05;0;0;6;1;3
R050;  18.04;  3.00;0;0;6;1;2
R051;  12.54;  2.50;0;0;6;1;2
R052;  10.29;  2.60;1;0;6;1;2
R053;  34.81;  5.20;1;0;6;1;4
R054;   9.94;  1.56;0;0;6;1;2
R055;  25.56;  4.34;0;0;6;1;4
R056;  19.49;  3.51;0;0;6;1;2
R057;  38.01;  3.00;0;1;5;1;4
R058;  26.41;  1.50;1;0;5;1;2
R059;  11.24;  1.76;0;1;5;1;2
R060;  48.27;  6.73;0;0;5;1;4
R061;  20.29;  3.21;0;1;5;1;2
R062;  13.81;  2.00;0;1;5;1;2
R063;  11.02;  1.98;0;1;5;1;2
R064;  18.29;  3.76;0;1;5;1;4
R065;  17.59;  2.64;0;0;5;1;3
R066;  20.08;  3.15;0;0;5;1;3
R067;  16.45;  2.47;1;0;5;1;2
R068;   3.07;  1.00;1;1;5;1;1
R069;  20.23;  2.01;0;0;5;1;2
R070;  15.01;  2.09;0;1;5;1;2
R071;  12.02;  1.97;0;0;5;1;2
R072;  17.07;  3.00;1;0;5;1;3
R073;  26.86;  3.14;1;1;5;1;2
R074;  25.28;  5.00;1;1;5;1;2
R075;  14.73;  2.20;1;0;5;1;2
R076;  10.51;  1.25;0;0;5;1;2
R077;  17.92;  3.08;0;1;5;1;2
R078;  27.20;  4.00;0;0;3;0;4
R079;  22.76;  3.00;0;0;3;0;2
R080;  17.29;  2.71;0;0;3;0;2
R081;  19.44;  3.00;0;1;3;0;2
R082;  16.66;  3.40;0;0;3;0;2
R083;  10.07;  1.83;1;0;3;0;1
R084;  32.68;  5.00;0;1;3;0;2
R085;  15.98;  2.03;0;0;3;0;2
R086;  34.83;  5.17;1;0;3;0;4
R087;  13.03;  2.00;0;0;3;0;2
R088;  18.28;  4.00;0;0;3;0;2
R089;  24.71;  5.85;0;0;3;0;2
R090;  21.16;  3.00;0;0;3;0;2
R091;  28.97;  3.00;0;1;4;1;2
R092;  22.49;  3.50;0;0;4;1;2
R093;   5.75;  1.00;1;1;4;1;2
R094;  16.32;  4.30;1;1;4;1;2
R095;  22.75;  3.25;1;0;4;1;2
R096;  40.17;  4.73;0;1;4;1;4
R097;  27.28;  4.00;0;1;4;1;2
R098;  12.03;  1.50;0;1;4;1;2
R099;  21.01;  3.00;0;1;4;1;2
R100;  12.46;  1.50;0;0;4;1;2
R101;  11.35;  2.50;1;1;4;1;2
R102;  15.38;  3.00;1;1;4;1;2
R103;  44.30;  2.50;1;1;5;1;3
R104;  22.42;  3.48;1;1;5;1;2
R105;  20.92;  4.08;1;0;5;1;2
R106;  15.36;  1.64;0;1;5;1;2
R107;  20.49;  4.06;0;1;5;1;2
R108;  25.21;  4.29;0;1;5;1;2
R109;  18.24;  3.76;0;0;5;1;2
R110;  14.31;  4.00;1;1;5;1;2
R111;  14.00;  3.00;0;0;5;1;2
R112;   7.25;  1.00;1;0;5;1;1
R113;  38.07;  4.00;0;0;6;1;3
R114;  23.95;  2.55;0;0;6;1;2
R115;  25.71;  4.00;1;0;6;1;3
R116;  17.31;  3.50;1;0;6;1;2
R117;  29.93;  5.07;0;0;6;1;4
R118;  10.65;  1.50;1;0;3;0;2
R119;  12.43;  1.80;1;0;3;0;2
R120;  24.08;  2.92;1;0;3;0;4
R121;  11.69;  2.31;0;0;3;0;2
R122;  13.42;  1.68;1;0;3;0;2
R123;  14.26;  2.50;0;0;3;0;2
R124;  15.95;  2.00;0;0;3;0;2
R125;  12.48;  2.52;1;0;3;0;2
R126;  29.80;  4.20;1;0;3;0;6
R127;   8.52;  1.48;0;0;3;0;2
R128;  14.52;  2.00;1;0;3;0;2
R129;  11.38;  2.00;1;0;3;0;2
R130;  22.82;  2.18;0;0;3;0;3
R131;  19.08;  1.50;0;0;3;0;2
R132;  20.27;  2.83;1;0;3;0;2
R133;  11.17;  1.50;1;0;3;0;2
R134;  12.26;  2.00;1;0;3;0;2
R135;  18.26;  3.25;1;0;3;0;2
R136;   8.51;  1.25;1;0;3;0;2
R137;  10.33;  2.00;1;0;3;0;2
R138;  14.15;  2.00;1;0;3;0;2
R139;  16.00;  2.00;0;1;3;0;2
R140;  13.16;  2.75;1;0;3;0;2
R141;  17.47;  3.50;1;0;3;0;2
R142;  34.30;  6.70;0;0;3;0;6
R143;  41.19;  5.00;0;0;3;0;5
R144;  27.05;  5.00;1;0;3;0;6
R145;  16.43;  2.30;1;0;3;0;2
R146;   8.35;  1.50;1;0;3;0;2
R147;  18.64;  1.36;1;0;3;0;3
R148;  11.87;  1.63;1;0;3;0;2
R149;   9.78;  1.73;0;0;3;0;2
R150;   7.51;  2.00;0;0;3;0;2
R151;  14.07;  2.50;0;0;6;1;2
R152;  13.13;  2.00;0;0;6;1;2
R153;  17.26;  2.74;0;0;6;1;3
R154;  24.55;  2.00;0;0;6;1;4
R155;  19.77;  2.00;0;0;6;1;4
R156;  29.85;  5.14;1;0;6;1;5
R157;  48.17;  5.00;0;0;6;1;6
R158;  25.00;  3.75;1;0;6;1;4
R159;  13.39;  2.61;1;0;6;1;2
R160;  16.49;  2.00;0;0;6;1;4
R161;  21.50;  3.50;0;0;6;1;4
R162;  12.66;  2.50;0;0;6;1;2
R163;  16.21;  2.00;1;0;6;1;3
R164;  13.81;  2.00;0;0;6;1;2
R165;  17.51;  3.00;1;1;6;1;2
R166;  24.52;  3.48;0;0;6;1;3
R167;  20.76;  2.24;0;0;6;1;2
R168;  31.71;  4.50;0;0;6;1;4
R169;  10.59;  1.61;1;1;5;1;2
R170;  10.63;  2.00;1;1;5;1;2
R171;  50.81; 10.00;0;1;5;1;3
R172;  15.81;  3.16;0;1;5;1;2
R173;   7.25;  5.15;0;1;6;1;2
R174;  31.85;  3.18;0;1;6;1;2
R175;  16.82;  4.00;0;1;6;1;2
R176;  32.90;  3.11;0;1;6;1;2
R177;  17.89;  2.00;0;1;6;1;2
R178;  14.48;  2.00;0;1;6;1;2
R179;   9.60;  4.00;1;1;6;1;2
R180;  34.63;  3.55;0;1;6;1;2
R181;  34.65;  3.68;0;1;6;1;4
R182;  23.33;  5.65;0;1;6;1;2
R183;  45.35;  3.50;0;1;6;1;3
R184;  23.17;  6.50;0;1;6;1;4
R185;  40.55;  3.00;0;1;6;1;2
R186;  20.69;  5.00;0;0;6;1;5
R187;  20.90;  3.50;1;1;6;1;3
R188;  30.46;  2.00;0;1;6;1;5
R189;  18.15;  3.50;1;1;6;1;3
R190;  23.10;  4.00;0;1;6;1;3
R191;  15.69;  1.50;0;1;6;1;2
R192;  19.81;  4.19;1;1;3;0;2
R193;  28.44;  2.56;0;1;3;0;2
R194;  15.48;  2.02;0;1;3;0;2
R195;  16.58;  4.00;0;1;3;0;2
R196;   7.56;  1.44;0;0;3;0;2
R197;  10.34;  2.00;0;1;3;0;2
R198;  43.11;  5.00;1;1;3;0;4
R199;  13.00;  2.00;1;1;3;0;2
R200;  13.51;  2.00;0;1;3;0;2
R201;  18.71;  4.00;0;1;3;0;3
R202;  12.74;  2.01;1;1;3;0;2
R203;  13.00;  2.00;1;1;3;0;2
R204;  16.40;  2.50;1;1;3;0;2
R205;  20.53;  4.00;0;1;3;0;4
R206;  16.47;  3.23;1;1;3;0;3
R207;  26.59;  3.41;0;1;5;1;3
R208;  38.73;  3.00;0;1;5;1;4
R209;  24.27;  2.03;0;1;5;1;2
R210;  12.76;  2.23;1;1;5;1;2
R211;  30.06;  2.00;0;1;5;1;3
R212;  25.89;  5.16;0;1;5;1;4
R213;  48.33;  9.00;0;0;5;1;4
R214;  13.27;  2.50;1;1;5;1;2
R215;  28.17;  6.50;1;1;5;1;3
R216;  12.90;  1.10;1;1;5;1;2
R217;  28.15;  3.00;0;1;5;1;5
R218;  11.59;  1.50;0;1;5;1;2
R219;   7.74;  1.44;0;1;5;1;2
R220;  30.14;  3.09;1;1;5;1;4
R221;  12.16;  2.20;0;1;4;0;2
R222;  13.42;  3.48;1;1;4;0;2
R223;   8.58;  1.92;0;1;4;0;1
R224;  15.98;  3.00;1;0;4;0;3
R225;  13.42;  1.58;0;1;4;0;2
R226;  16.27;  2.50;1;1;4;0;2
R227;  10.09;  2.00;1;1;4;0;2
R228;  20.45;  3.00;0;0;5;1;4
R229;  13.28;  2.72;0;0;5;1;2
R230;  22.12;  2.88;1;1;5;1;2
R231;  24.01;  2.00;0;1;5;1;4
R232;  15.69;  3.00;0;1;5;1;3
R233;  11.61;  3.39;0;0;5;1;2
R234;  10.77;  1.47;0;0;5;1;2
R235;  15.53;  3.00;0;1;5;1;2
R236;  10.07;  1.25;0;0;5;1;2
R237;  12.60;  1.00;0;1;5;1;2
R238;  32.83;  1.17;0;1;5;1;2
R239;  35.83;  4.67;1;0;5;1;3
R240;  29.03;  5.92;0;0;5;1;3
R241;  27.18;  2.00;1;1;5;1;2
R242;  22.67;  2.00;0;1;5;1;2
R243;  17.82;  1.75;0;0;5;1;2
R244;  18.78;  3.00;1;0;3;1;2
